r     y     u
0.350 0.338 1.187
0.350 0.338 1.134
0.350 0.338 1.134
0.350 0.338 1.135
0.350 0.341 1.080
0.350 0.341 1.134
0.350 0.341 1.135
0.350 0.341 1.135
0.350 0.341 1.136
0.350 0.341 1.136
0.350 0.342 1.109
0.350 0.341 1.163
0.350 0.342 1.110
0.350 0.342 1.137
0.350 0.342 1.137
0.350 0.342 1.138
0.350 0.342 1.138
0.350 0.342 1.138
0.350 0.342 1.139
0.350 0.342 1.139
0.350 0.342 1.140
0.350 0.342 1.140
0.350 0.342 1.140
0.350 0.342 1.141
0.350 0.342 1.141
0.350 0.343 1.114
0.350 0.343 1.141
0.350 0.343 1.141
0.350 0.343 1.142
0.350 0.343 1.142
0.350 0.345 1.087
0.350 0.345 1.141
0.350 0.345 1.141
0.350 0.345 1.141
0.350 0.346 1.114
0.350 0.346 1.141
0.350 0.346 1.141
0.350 0.346 1.141
0.350 0.346 1.141
